NOME,TIPO,APLICACAO,categoria,codigo_fabricante,descricao,link,imagem,Destaque
Acrylamide/Bis-acrylamide solution 30% (29:1),Reagentes laboratoriais,Eletroforese,Himedia,ML037-500ML,,https://www.himedialabs.com/us/ml037-acrylamide-bis-acrylamide-solution-30-291.html,\Imagens\produtos\MB571-20PR.JPG,F
Ponceau-S Stain,Reagentes laboratoriais,Eletroforese,Himedia,ML045-250ML,,https://www.himedialabs.com/us/ml045-ponceau-s-stain.html,\Imagens\produtos\MB544-20PR.JPG,F
Coomassie Brilliant Blue Stain,Reagentes laboratoriais,Eletroforese,Himedia,ML046-250ML,,https://www.himedialabs.com/us/ml046-coomassie-brilliant-blue-stain.html,\Imagens\produtos\MB542-20PR.JPG,F
2X Laemmli Buffer,Reagentes laboratoriais,Eletroforese,Himedia,ML021-10X6ML,,https://www.himedialabs.com/us/ml021-2x-laemmli-buffer.html,\Imagens\produtos\Rabbit.jpg,F
Bovine serum albumin,Reagentes laboratoriais,Eletroforese,Himedia,MB083-25G,,https://www.himedialabs.com/us/bovine-serum-albumin.html,\Imagens\produtos\Rabbit.jpg,F
5X Bradford Reagent,Reagentes laboratoriais,Eletroforese,Himedia,ML202-100ML,,https://www.himedialabs.com/us/ml202-5x-bradford-reagent.html,\Imagens\produtos\invitek.jpg,F
"4X CAPITAL™ qPCR Probe Master Mix LROX, 1000rxn",Reagentes laboratoriais,qPCR,BiotechRabbit,BR0501502,,https://www.biotechrabbit.com/capital-qpcr-probe-mix-4x.html,\Imagens\produtos\1001136100.jpg,T
"4X CAPITAL™ 1-Step qRT-PCR Probe Master Mix LROX, 1000rxn",Reagentes laboratoriais,qPCR,BiotechRabbit,BR0502102,,https://www.biotechrabbit.com/capital-qrt-pcr-probe-mix-4x.html,\Imagens\produtos\G1245-500G.jpg,T
"4X CAPITAL™ qPCR Green Master Mix LROX, 1000rxn",Reagentes laboratoriais,qPCR,BiotechRabbit,BR0501802,,https://www.biotechrabbit.com/capital-qpcr-green-mix-4x.html,\Imagens\produtos\M1363-500G.jpg,T
"Hot-Start Taq DNA Polymerase, 5 U/µl, 500 Units",Reagentes laboratoriais,PCR,BiotechRabbit,BR0200102,,https://www.biotechrabbit.com/hot-start-taq-dna-polymerase-5-u-l.html,\Imagens\produtos\invitek.jpg,F
"2X Hot-Start PCR Master Mix, 200 rxn",Reagentes laboratoriais,PCR,BiotechRabbit,BR0200205,,https://www.biotechrabbit.com/hot-start-pcr-master-mix-2x.html,\Imagens\produtos\AL006A-500ML.jpg,F
"2X Multiplex Hot-Start PCR Master Mix, 50 rxn of 50 µl",Reagentes laboratoriais,PCR,BiotechRabbit,BR0200801,,https://www.biotechrabbit.com/multiplex-pcr-master-mix-2x.html,\Imagens\produtos\AL028A.jpg,F
"ExactiFi™ Hot-Start DNA Polymerase, 1 U/µl, 100 Units",Reagentes laboratoriais,"PCR, NGS",BiotechRabbit,BR0300501,,https://www.biotechrabbit.com/exactifi-hot-start-dna-polymerase.html,\Imagens\produtos\TCL280-500ML.JPG,F
"MMuLV Reverse Transcriptase, 200 U/µl, 10000 Units",Reagentes laboratoriais,"PCR, qPCR, NGS",BiotechRabbit,BR0400201,,https://www.biotechrabbit.com/mmulv-reverse-transcriptase-200-u-l.html,\Imagens\produtos\MH033-500G.jpg,F
"cDNA Synthesis Kit, 125 rxn of 20 µl",Reagentes laboratoriais,"PCR, qPCR, NGS",BiotechRabbit,BR0400403,,https://www.biotechrabbit.com/cdna-synthesis-kit.html,\Imagens\produtos\TCL280-500ML.JPG,F
"AllScript™ Reverse Transcriptase, 4 U/µl, 400 Units",Reagentes laboratoriais,"PCR, qPCR, NGS",BiotechRabbit,BR0400601,,https://www.biotechrabbit.com/allscript-reverse-transcriptase-4-u-l.html,\Imagens\produtos\invitek.jpg,F
"4X CAPITAL™ qPCR Probe Master Mix, lyophilized, 200 rxn",Reagentes laboratoriais,qPCR,BiotechRabbit,BR0502601,,https://www.biotechrabbit.com/capital-qpcr-probe-mix-lyophilized-4x.html,\Imagens\produtos\TCL280-500ML.JPG,F
"5X CAPITAL™ 1-Step qRT-PCR Probe Master Mix, lyophilized, 200 rxn",Reagentes laboratoriais,qPCR,BiotechRabbit,BC0503202,,https://www.biotechrabbit.com/capital-qrt-pcr-probe-mix-lyophilized-5x.html,\Imagens\produtos\rabbits2.jpg,F
"GenUP™ FFPE Paraffin Removal Solution, 50 mL",Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",BiotechRabbit,BR0701602,,https://www.biotechrabbit.com/genuptm-paraffin-removal-kit.html,\Imagens\produtos\MB554-20PR.JPG,F
